ell,residuals
735,-5.981256036919335e-13
736,-5.744553960699075e-13
737,-5.494666236375097e-13
738,-5.232294624597085e-13
739,-4.958169127035786e-13
740,-4.673045958573899e-13
741,-4.3777054618928997e-13
742,-4.072949970223025e-13
743,-3.759601624121024e-13
744,-3.438500148240023e-13
745,-3.1105005941256614e-13
746,-2.7764710551319763e-13
747,-2.437290359591096e-13
748,-2.093845748400919e-13
749,-1.747030543194178e-13
750,-1.39774181125423e-13
751,-1.0468780333126633e-13
752,-6.953367803234972e-14
753,-3.440124052565244e-14
754,6.206244125196164e-16
755,3.5443808562360455e-14
756,6.998120303230999e-14
757,1.0414691720077286e-13
758,1.378564932753956e-13
759,1.710271159315627e-13
760,2.035778165083801e-13
761,2.354296712572046e-13
762,2.6650599315663337e-13
763,2.967325168271663e-13
764,3.260375761004264e-13
765,3.543522738184792e-13
766,3.8161064346327023e-13
767,4.0774980223854626e-13
768,4.327100952524899e-13
769,4.564352304742915e-13
770,4.788724041642499e-13
771,4.999724165039675e-13
772,5.196897771805657e-13
773,5.379828007068946e-13
774,5.548136912883122e-13
775,5.701486170746811e-13
776,5.839577736663076e-13
777,5.962154367706043e-13
778,6.06900003936209e-13
779,6.15994025320549e-13
780,6.234842234758334e-13
781,6.293615021677287e-13
782,6.336209442698097e-13
783,6.362617988058398e-13
784,6.372874572392587e-13
785,6.367054191383504e-13
786,6.345272473719015e-13
787,6.307685130169436e-13
788,6.254487301871955e-13
789,6.185912810146068e-13
790,6.102233310426357e-13
791,6.00375735312402e-13
792,5.890829354463616e-13
793,5.763828480559031e-13
794,5.623167448198821e-13
795,5.469291246015036e-13
796,5.302675779891857e-13
797,5.123826446646953e-13
798,4.93327664018711e-13
799,4.731586194483801e-13
800,4.5193397678609453e-13
801,4.2971451732079243e-13
802,4.06563165884792e-13
803,3.8254481448899744e-13
804,3.5772614199792597e-13
805,3.321754303432298e-13
806,3.0596237778059004e-13
807,2.7915790969906083e-13
808,2.5183398749505633e-13
809,2.2406341602529323e-13
810,1.9591965015275542e-13
811,1.6747660089943781e-13
812,1.388084417166402e-13
813,1.0998941538019612e-13
814,8.109364201281923e-14
815,5.219492872970772e-14
816,2.336658139522995e-14
817,-5.3187810294018e-15
818,-3.378940907872289e-14
819,-6.197460185742136e-14
820,-8.98048821512812e-14
821,-1.172121671425202e-13
822,-1.4412993431214495e-13
823,-1.704933821273718e-13
824,-1.9623958512897658e-13
825,-2.2130764305070446e-13
826,-2.4563882362136566e-13
827,-2.691766987191843e-13
828,-2.9186727356813026e-13
829,-3.1365910868643605e-13
830,-3.3450343431841396e-13
831,-3.5435425710314414e-13
832,-3.7316845875511187e-13
833,-3.909058865551558e-13
834,-4.075294354729657e-13
835,-4.2300512176579393e-13
836,-4.373021479217368e-13
837,-4.5039295883967667e-13
838,-4.622532891622694e-13
839,-4.728622017018051e-13
840,-4.822021169233488e-13
841,-4.902588334731468e-13
842,-4.97021539764053e-13
843,-5.024828166535595e-13
844,-5.066386312729702e-13
845,-5.094883220895855e-13
846,-5.110345753060442e-13
847,-5.112833927233739e-13
848,-5.102440512156877e-13
849,-5.079290539858975e-13
850,-5.043540737919143e-13
851,-4.995378883528766e-13
852,-4.935023081641034e-13
853,-4.86272096967478e-13
854,-4.778748851421163e-13
855,-4.683410762962815e-13
856,-4.577037473578802e-13
857,-4.459985424753588e-13
858,-4.3326356105527913e-13
859,-4.195392402754975e-13
860,-4.0486823242499437e-13
861,-3.8929527743249187e-13
862,-3.7286707095584546e-13
863,-3.5563212841296395e-13
864,-3.376406453430658e-13
865,-3.1894435449341143e-13
866,-2.995963800325527e-13
867,-2.79651089295346e-13
868,-2.5916394246860265e-13
869,-2.3819134062805193e-13
870,-2.167904725389856e-13
871,-1.9501916063239746e-13
872,-1.729357065677133e-13
873,-1.5059873679090696e-13
874,-1.2806704849346923e-13
875,-1.0539945637360637e-13
876,-8.265464059531238e-14
877,-5.989099633514341e-14
878,-3.716648529867077e-14
879,-1.4538489580530485e-14
880,7.936331767279665e-15
881,3.020218310428595e-14
882,5.2204269164320915e-14
883,7.38889282802053e-14
884,9.520376155167134e-14
885,1.1609775765038002e-13
886,1.3652141297094235e-13
887,1.5642684685056128e-13
888,1.7576791159604727e-13
889,1.9450029707264477e-13
890,2.1258162962518526e-13
891,2.299715651197567e-13
892,2.4663187591059096e-13
893,2.6252653155530104e-13
894,2.776217731192102e-13
895,2.9188618092785465e-13
896,3.0529073564571575e-13
897,3.178088725772732e-13
898,3.294165291058649e-13
899,3.400921852045472e-13
900,3.4981689697185823e-13
901,3.5857432316466336e-13
902,3.6635074471866785e-13
903,3.7313507726610223e-13
904,3.7891887667838816e-13
905,3.8369633767996467e-13
906,3.874642855971874e-13
907,3.902221613242112e-13
908,3.9197199960456156e-13
909,3.9271840074439495e-13
910,3.9246849588938874e-13
911,3.9123190601361116e-13
912,3.890206947834419e-13
913,3.8584931547512393e-13
914,3.8173455213793637e-13
915,3.7669545520924745e-13
916,3.707532718000103e-13
917,3.63931370881763e-13
918,3.562551636175101e-13
919,3.477520190895695e-13
920,3.384511756874621e-13
921,3.2838364842795894e-13
922,3.1758213248774024e-13
923,3.0608090323679607e-13
924,2.9391571306701895e-13
925,2.811236853166237e-13
926,2.6774320559565597e-13
927,2.5381381082236936e-13
928,2.393760762829053e-13
929,2.2447150102969104e-13
930,2.0914239193504823e-13
931,1.9343174671733386e-13
932,1.7738313625670714e-13
933,1.6104058651654468e-13
934,1.4444846038463197e-13
935,1.2765133974563596e-13
936,1.1069390809264078e-13
937,9.362083398150955e-14
938,7.647665562657439e-14
939,5.930566693021174e-14
940,4.215180523279182e-14
941,2.5058541061477685e-14
942,8.068770149247376e-15
943,-8.775292013767482e-15
944,-2.5432212843367083e-14
945,-4.1861442295304555e-14
946,-5.802340923738493e-14
947,-7.387961433738247e-14
948,-8.939271925600032e-14
949,-1.0452663194594852e-13
950,-1.1924658787033334e-13
951,-1.335192269663654e-13
952,-1.4731266619311266e-13
953,-1.6059656751558135e-13
954,-1.7334220119063744e-13
955,-1.8552250423430366e-13
956,-1.9711213396383578e-13
957,-2.0808751652197908e-13
958,-2.1842689030520425e-13
959,-2.2811034423188715e-13
960,-2.3711985080075003e-13
961,-2.4543929390411814e-13
962,-2.530544913750473e-13
963,-2.599532122611235e-13
964,-2.661251888323592e-13
965,-2.7156212334391224e-13
966,-2.762576895885484e-13
967,-2.802075292869676e-13
968,-2.834092433774497e-13
969,-2.858623782790602e-13
970,-2.875684072154335e-13
971,-2.8853070669826443e-13
972,-2.8875452828142927e-13
973,-2.8824696570821877e-13
974,-2.870169175851037e-13
975,-2.8507504572586266e-13
976,-2.824337293201056e-13
977,-2.791070150895898e-13
978,-2.751105636047764e-13
979,-2.704615919424766e-13
980,-2.6517881287331655e-13
981,-2.592823707749531e-13
982,-2.527937744737325e-13
983,-2.4573582722348303e-13
984,-2.3813255403557205e-13
985,-2.300091265792106e-13
986,-2.213917858751147e-13
987,-2.1230776300919333e-13
988,-2.027851980958224e-13
989,-1.9285305772249567e-13
990,-1.8254105110925682e-13
991,-1.7187954521728897e-13
992,-1.6089947904133866e-13
993,-1.496322773203605e-13
994,-1.381097638998121e-13
995,-1.263640749775589e-13
996,-1.1442757246305742e-13
997,-1.0233275767691059e-13
998,-9.011218561442115e-14
999,-7.77983799929892e-14
1000,-6.542374929869552e-14
1001,-5.302050404249102e-14
1002,-4.06205754309395e-14
1003,-2.8255535650514998e-14
1004,-1.595651995789622e-14
1005,-3.754150762098938e-15
1006,8.32153612334466e-15
1007,2.0241162887372747e-14
1008,3.197607862501219e-14
1009,4.3498425583401303e-14
1010,5.4781202604807684e-14
